Genre name,True Positive,True Negative,False Positive,False  Negative,Precision,Recall,F1-Score
Fiction,11,2142,6,20,0.64,0.35,0.44
Romance,334,1445,200,200,0.62,0.62,0.62
Animation,57,2032,50,40,0.53,0.58,0.55
Music,46,2014,57,62,0.45,0.43,0.44
Comedy,357,1148,348,326,0.51,0.52,0.51
War,34,2065,40,40,0.45,0.45,0.45
Horror,101,1859,111,108,0.48,0.48,0.48
Western,35,2087,30,27,0.53,0.56,0.54
Thriller,149,1630,176,224,0.46,0.4,0.43
Adventure,19,2036,52,72,0.27,0.21,0.23
Mystery,29,2035,60,55,0.32,0.34,0.34
Science,21,2142,6,10,0.77,0.67,0.71
Foreign,10,2005,75,89,0.12,0.1,0.11
Drama,766,634,417,362,0.65,0.68,0.66
Action,82,1816,137,144,0.37,0.36,0.37
Crime,91,1858,120,110,0.43,0.45,0.44
Documentary,73,1950,83,73,0.47,0.5,0.48
History,52,2027,50,50,0.50,0.50,0.50
Family,59,1960,80,80,0.38,0.38,0.38
Fantasy,36,2053,50,40,0.41,0.47,0.43
