Genre name,True Positive,True Negative,False Positive,False  Negative,Precision,Recall,F1-Score
Fiction,7,2142,6,24,0.54,0.23,0.32
Romance,250,1445,251,233,0.5,0.52,0.51
Animation,20,2032,68,59,0.23,0.25,0.24
Music,46,2014,57,62,0.45,0.43,0.44
Comedy,357,1148,348,326,0.51,0.52,0.51
War,22,2065,45,47,0.33,0.32,0.32
Horror,101,1859,111,108,0.48,0.48,0.48
Western,20,2087,37,35,0.35,0.36,0.36
Thriller,149,1630,176,224,0.46,0.4,0.43
Adventure,19,2036,52,72,0.27,0.21,0.23
Mystery,14,2035,69,61,0.17,0.19,0.18
Science,9,2142,6,22,0.6,0.29,0.39
Foreign,10,2005,75,89,0.12,0.1,0.11
Drama,766,634,417,362,0.65,0.68,0.66
Action,82,1816,137,144,0.37,0.36,0.37
Crime,61,1858,139,121,0.3,0.34,0.32
Documentary,73,1950,83,73,0.47,0.5,0.48
History,19,2027,50,83,0.28,0.19,0.22
Family,39,1960,88,92,0.31,0.3,0.3
Fantasy,10,2053,69,47,0.13,0.18,0.15
